id_cliente,par30,tasa_crecimiento,margen_utilidad,margen_cashflow,variabilidad_ingresos,antiguedad,concentracion_clientes,concentracion_proveedores,factor_perdida_clientes,taxcompliance_value,blackliststatus_value,blacklistedcounterparties_value,intercompanytransactions_value,customerconcentration_value,supplierconcentration_value,foreignexchangerisk_value,cashtransactionrisk_value,accountinginsolvency_value,canceledissuedinvoices_value,canceledreceivedinvoices_value,Kruskal_ley_benford,kolmogorov_ley_benford
10029,0,0.92,35.8,32.54,55.83,49,35.13,76.37,33.16,positive,,0,0,608,3048,0,0.02,34.01,0.08,0.02,0.89462581,1
10030,0,8.62,3.48,-3.99,51.09,29,60.57,16.98,75.86,negative,,0,0,1774,249,0,0.39,1.01,0.03,0.02,0.89462581,1
10031,0,-10.91,22.24,65.81,225.7,111,100,59.94,100,positive,,0,,5491,1991,0,0,,0,0.01,0.691102224,0.351707116
10032,0,2.88,45.37,44.58,24.87,67,16.59,73.73,60.69,positive,,0,0,394,979,0,0.19,0.86,0.03,0.02,0.825282898,0.989469354
10033,0,40.12,-12.66,13.86,70.62,25,24.19,38.3,40,positive,,0,,3111,727,0.01,0.41,,0.05,0.03,0.894571712,1
10034,0,15.84,58.19,85.44,139.99,65,56.26,0,82.65,positive,,0,0,2473,1177,0,0,0.51,0.06,0.05,0.565992148,0.351707116
10035,0,17.3,32.11,23.5,163.12,111,89.79,51.65,55.56,negative,,0,,6162,1342,0,0.01,,0.04,0.01,0.690950937,0.730111065
10036,0,4.84,-6.79,5.09,71.28,56,43.4,62.31,78.85,positive,,0,0,1383,1387,0,0.31,1.01,0.04,0.04,0.691102224,0.989469354
10037,0,-5.9,-2.29,0.33,61.18,32,75.9,48.09,71.88,positive,,0,0,3564,1813,0,0.05,1.02,0.03,0.06,0.401541988,0.730111065
10038,0,2.54,21.13,4.86,47.07,111,32.04,23.7,63.64,positive,,0,0,2483,407,0.05,0.09,3.62,0.19,0.02,0.825282898,0.989469354
10039,0,12.42,50.4,14.64,80.42,51,28.19,64.45,34.24,positive,,0,0,3162,1129,0,0.02,83.86,0.04,0.02,0.964783978,1
10040,0,10.65,59.49,44.13,63.19,43,40.49,28.18,34.96,negative,,0,1,828,541,0.01,0.29,1.89,0.05,0.02,0.565992148,0.730111065
10041,0,5.46,39.12,44.47,130.26,111,100,36.43,66.67,positive,,0,,5079,782,0,0.84,56.67,0.04,0,0.627206926,0.730111065
10042,0,2.84,2.29,-31.05,28.1,111,17.66,88.97,58.72,positive,,0,0.4901,719,7574,0.01,0.57,1.91,0.04,0.03,0.964783978,1
10043,0,-16.42,-689.04,-22.97,79.02,111,85.02,60.15,67.65,negative,,0,,3111,1601,0,0.18,,0,0.02,0.691102224,0.730111065
10044,0,18.27,80.64,83.13,68.36,36,44.18,50.93,50,positive,,0,0,953,1115,0,0.13,1.67,0.07,0,0.75727775,0.730111065
10045,0,6.79,-24.53,35.88,130.2,95,91.38,97.2,18.18,positive,,0,0,4214,4252,0,0.08,0.91,0.08,0.01,0.627206926,0.989469354
10046,0,5.43,5.8,0.69,97.07,73,47.77,91.29,82.76,positive,,0,0,4223,3062,0,0.14,1.21,0.04,0.03,0.89462581,0.989469354
10047,0,0.83,2.67,35.39,30.83,33,58.65,38.12,82.95,positive,,0,0,2317,561,0,0.34,1.13,0,0.02,0.233230223,0.351707116
10048,0,1.27,-15.35,2.86,52.99,111,86.44,37.21,29.41,negative,,0,,5914,2512,0,0.18,,0.01,0.02,0.825282898,0.989469354
10049,0,-0.54,-14.05,-49.89,97.13,63,23.49,47.37,50,negative,,0,0,908,1006,0,0.08,3.32,0.09,0.02,0.690950937,0.730111065
10050,0,-1.26,-64.32,-169.61,51.76,111,89.34,43.11,66.67,negative,,0,,4053,1003,0,0.13,,0,0.01,0.964783978,0.989469354
10051,0,1.27,36.13,33.11,28.93,109,89.16,48.2,50,negative,,0,0,5629,1297,0,0.14,,0.05,0.01,0.964783978,1
10052,0,22.16,69.62,84.16,110.29,111,0.03,59.87,43.365,negative,,0,,9996,1674,0,0.1,,0.05,0.04,0.690950937,0.730111065
10053,0,5.84,3.82,16.37,33.47,57,78.73,28.5,51.36,negative,,0,0,5078,625,0,0.31,1.09,0,0.02,0.30987955,0.730111065
10054,0,4.4,4.98,7.02,53.54,81,63.73,25.98,56.33,negative,,0,0,3191,549,0,0.29,1.07,0.01,0.02,0.401541988,0.730111065
10055,0,20.49,19.61,-7.07,43.5,23,98.59,51.37,100,positive,,0,0,9463,1136,0,0.01,0.93,0.04,0.05,0.691102224,0.989469354
10056,1,24.57,57.91,41.74,65.19,24,45.69,78.29,77.27,negative,,0,,3154,3324,0,0.07,,0.02,0.02,0.452679181,0.730111065
10057,0,3.53,-28.8,-10.69,191.2,111,40.86,32.83,95.4,positive,,0,0.2778,1264,1682,0.05,0.47,1.13,0.03,0.03,0.691102224,0.989469354
10058,0,2.01,-2.78,9.79,85.59,64,44.4,52.81,80,positive,,0,0,1284,1107,0,0.31,129.44,0.04,0.01,0.75727775,0.989469354
10059,1,9.76,57.63,62.92,93.14,67,20.44,64.32,44.19,positive,,0,0,997,2461,0,0.04,7.69,0.07,0.03,0.89462581,0.989469354
10060,0,5.61,-31.84,-40.68,82.43,111,73.62,46.9,22.22,positive,,0,,2863,1086,0,0.22,,0.14,0.01,0.825282898,0.989469354
10061,1,4.18,78.42,96.48,35.15,55,47.38,39.83,60,negative,,0,,1396,874,0,0.02,,0,0.02,0.627206926,0.989469354
